cell_id,lat_center,lon_center,date,RH
c0009,41.201023,14.627356,2019-03-13,64.92659057569692
c0009,41.201023,14.627356,2019-03-14,80.90214658600243
c0009,41.201023,14.627356,2019-03-15,75.59297096414346
c0009,41.201023,14.627356,2019-03-16,90.21155988049654
c0009,41.201023,14.627356,2019-03-17,88.16005311333845
c0009,41.201023,14.627356,2019-03-18,87.09965965590743
c0009,41.201023,14.627356,2019-03-19,81.91701674454066
c0009,41.201023,14.627356,2019-03-20,77.57286596086628
c0009,41.201023,14.627356,2019-03-21,71.49259279645048
c0009,41.201023,14.627356,2019-03-22,70.0721781133304
c0009,41.201023,14.627356,2019-03-23,62.95255633200538
c0009,41.201023,14.627356,2019-03-24,59.24652595813482
c0009,41.201023,14.627356,2019-03-25,82.50816104616837
c0009,41.201023,14.627356,2019-03-26,85.62020114028856
c0009,41.201023,14.627356,2019-03-27,76.07315545254197
c0009,41.201023,14.627356,2019-03-28,65.26168750191088
c0009,41.201023,14.627356,2019-03-29,60.26558549557731
c0009,41.201023,14.627356,2019-03-30,58.34368203491355
c0009,41.201023,14.627356,2019-03-31,60.1282230511738
c0009,41.201023,14.627356,2019-04-01,56.444621839483005
c0009,41.201023,14.627356,2019-04-02,65.43632684432329
c0009,41.201023,14.627356,2019-04-03,87.37599840342864
c0009,41.201023,14.627356,2019-04-04,82.34987860344545
c0009,41.201023,14.627356,2019-04-05,61.356288071334134
c0009,41.201023,14.627356,2019-04-06,74.96392704056555
c0009,41.201023,14.627356,2019-04-07,78.73590303971615
c0009,41.201023,14.627356,2019-04-08,84.53847469267343
c0009,41.201023,14.627356,2019-04-09,84.8528277254824
c0009,41.201023,14.627356,2019-04-10,89.66225925086803
c0009,41.201023,14.627356,2019-04-11,86.66542387713223
c0009,41.201023,14.627356,2019-04-12,83.60339120747882
c0009,41.201023,14.627356,2019-04-13,83.34397710747848
c0009,41.201023,14.627356,2019-04-14,85.0617633466362
c0009,41.201023,14.627356,2019-04-15,83.79300064352952
c0009,41.201023,14.627356,2019-04-16,69.40658779262456
c0009,41.201023,14.627356,2019-04-17,70.54462859976275
c0009,41.201023,14.627356,2019-04-18,62.84837784911988
c0009,41.201023,14.627356,2019-04-19,64.29849288217953
c0009,41.201023,14.627356,2019-04-20,61.63643854823272
c0009,41.201023,14.627356,2019-04-21,60.92118495150882
c0009,41.201023,14.627356,2019-04-22,85.36877794819698
c0009,41.201023,14.627356,2019-04-23,86.4162678990676
c0009,41.201023,14.627356,2019-04-24,65.29956487814471
c0009,41.201023,14.627356,2019-04-25,51.622640307737505
c0009,41.201023,14.627356,2019-04-26,72.99810211901537
c0009,41.201023,14.627356,2019-04-27,76.97651208690178
c0009,41.201023,14.627356,2019-04-28,80.73306015743526
c0009,41.201023,14.627356,2019-04-29,87.28838928920024
c0009,41.201023,14.627356,2019-04-30,73.86179940722
c0009,41.201023,14.627356,2019-05-01,85.18443259837339
c0009,41.201023,14.627356,2019-05-02,79.93724092814706
c0009,41.201023,14.627356,2019-05-03,79.37415296665068
c0009,41.201023,14.627356,2019-05-04,91.62554594812372
c0009,41.201023,14.627356,2019-05-05,84.90931366529509
c0009,41.201023,14.627356,2019-05-06,83.18787806889414
c0009,41.201023,14.627356,2019-05-07,66.46481550052452
c0009,41.201023,14.627356,2019-05-08,75.37096705133018
c0009,41.201023,14.627356,2019-05-09,85.74681249931568
c0009,41.201023,14.627356,2019-05-10,82.91892492924502
c0009,41.201023,14.627356,2019-05-11,79.77707412064913
c0009,41.201023,14.627356,2019-05-12,90.07286634035982
c0009,41.201023,14.627356,2019-05-13,75.3095858000794
c0009,41.201023,14.627356,2019-05-14,83.29274784506998
c0009,41.201023,14.627356,2019-05-15,81.69698052535603
c0009,41.201023,14.627356,2019-05-16,81.39806411634343
c0009,41.201023,14.627356,2019-05-17,74.92460093640508
c0009,41.201023,14.627356,2019-05-18,81.14967155076444
c0009,41.201023,14.627356,2019-05-19,88.64879978795187
c0009,41.201023,14.627356,2019-05-20,89.96662917754442
c0009,41.201023,14.627356,2019-05-21,87.4511023754965
c0009,41.201023,14.627356,2019-05-22,81.48407547620955
c0009,41.201023,14.627356,2019-05-23,86.0632559506768
c0009,41.201023,14.627356,2019-05-24,86.0118778591236
c0009,41.201023,14.627356,2019-05-25,79.31846860691915
c0009,41.201023,14.627356,2019-05-26,90.9164952278938
c0009,41.201023,14.627356,2019-05-27,88.50142230092236
c0009,41.201023,14.627356,2019-05-28,88.45496437497322
c0009,41.201023,14.627356,2019-05-29,86.88973970163613
c0009,41.201023,14.627356,2019-05-30,83.56271760703719
c0009,41.201023,14.627356,2019-05-31,76.21097363937939
c0009,41.201023,14.627356,2019-06-01,78.36462571197781
c0009,41.201023,14.627356,2019-06-02,85.56055629122565
c0009,41.201023,14.627356,2019-06-03,86.21747051674653
c0009,41.201023,14.627356,2019-06-04,84.70859806124689
c0009,41.201023,14.627356,2019-06-05,84.8676886771892
c0009,41.201023,14.627356,2019-06-06,73.58066417439443
c0009,41.201023,14.627356,2019-06-07,62.278372560828736
c0009,41.201023,14.627356,2019-06-08,56.124232596165115
c0009,41.201023,14.627356,2019-06-09,53.79440437670787
c0009,41.201023,14.627356,2019-06-10,54.84541852848868
c0009,41.201023,14.627356,2019-06-11,53.99351962886048
c0009,41.201023,14.627356,2019-06-12,51.310543476191384
c0009,41.201023,14.627356,2019-06-13,61.41747836026389
c0009,41.201023,14.627356,2019-06-14,51.01368483214514
c0009,41.201023,14.627356,2019-06-15,59.92695008678273
c0009,41.201023,14.627356,2019-06-16,71.16685917220799
c0009,41.201023,14.627356,2019-06-17,62.30964577143388
c0009,41.201023,14.627356,2019-06-18,61.32153748619275
c0009,41.201023,14.627356,2019-06-19,67.30670312006048
c0009,41.201023,14.627356,2019-06-20,70.92502262477717
c0009,41.201023,14.627356,2019-06-21,59.446529286835094
c0009,41.201023,14.627356,2019-06-22,58.4347418627252
c0009,41.201023,14.627356,2019-06-23,60.37787465457277
c0009,41.201023,14.627356,2019-06-24,61.647169126054585
c0009,41.201023,14.627356,2019-06-25,59.612882635196506
c0009,41.201023,14.627356,2019-06-26,57.11482787020433
c0009,41.201023,14.627356,2019-06-27,52.1268302202851
c0009,41.201023,14.627356,2019-06-28,44.9037600844553
c0009,41.201023,14.627356,2019-06-29,45.92470588971801
c0009,41.201023,14.627356,2019-06-30,44.40096556100782
c0009,41.201023,14.627356,2019-07-01,44.418909403829815
c0009,41.201023,14.627356,2019-07-02,48.20500059973432
c0009,41.201023,14.627356,2019-07-03,43.45866681362711
c0009,41.201023,14.627356,2019-07-04,47.91018825208692
c0009,41.201023,14.627356,2019-07-05,53.75324795236427
c0009,41.201023,14.627356,2019-07-06,57.44244935000842
c0009,41.201023,14.627356,2019-07-07,68.54983217269643
c0009,41.201023,14.627356,2019-07-08,73.30573007435076
c0009,41.201023,14.627356,2019-07-09,74.16815709043182
c0009,41.201023,14.627356,2019-07-10,78.13018462337962
c0009,41.201023,14.627356,2019-07-11,56.36114040816785
c0009,41.201023,14.627356,2019-07-12,69.10319620973694
c0009,41.201023,14.627356,2019-07-13,86.86565536163904
c0009,41.201023,14.627356,2019-07-14,69.3487842019751
c0009,41.201023,14.627356,2019-07-15,66.33898680044837
c0009,41.201023,14.627356,2019-07-16,71.83399522888865
c0009,41.201023,14.627356,2019-07-17,56.99654495072213
c0009,41.201023,14.627356,2019-07-18,62.36442725140333
c0009,41.201023,14.627356,2019-07-19,67.45219632068664
c0009,41.201023,14.627356,2019-07-20,61.13181339746572
c0009,41.201023,14.627356,2019-07-21,57.16984173629053
c0009,41.201023,14.627356,2019-07-22,54.659562233444376
c0009,41.201023,14.627356,2019-07-23,54.154923334903955
c0009,41.201023,14.627356,2019-07-24,52.9719585028035
c0009,41.201023,14.627356,2019-07-25,48.713129646734245
c0009,41.201023,14.627356,2019-07-26,58.5657241696596
c0009,41.201023,14.627356,2019-07-27,63.37668132325962
c0009,41.201023,14.627356,2019-07-28,85.51992531929656
c0009,41.201023,14.627356,2019-07-29,81.14460679240946
c0009,41.201023,14.627356,2019-07-30,78.25428007248134
c0009,41.201023,14.627356,2019-07-31,77.84636480265495
c0009,41.201023,14.627356,2019-08-01,73.22934505334477
c0009,41.201023,14.627356,2019-08-02,63.448535240878776
c0009,41.201023,14.627356,2019-08-03,59.86390033636394
c0009,41.201023,14.627356,2019-08-04,51.716503251180974
c0009,41.201023,14.627356,2019-08-05,52.35105663705655
c0009,41.201023,14.627356,2019-08-06,55.10914677999596
c0009,41.201023,14.627356,2019-08-07,45.27054735032288
c0009,41.201023,14.627356,2019-08-08,46.059971742379545
c0009,41.201023,14.627356,2019-08-09,55.822122229905126
c0009,41.201023,14.627356,2019-08-10,53.49600507621341
c0009,41.201023,14.627356,2019-08-11,47.67700793619768
c0009,41.201023,14.627356,2019-08-12,43.24229871336401
c0009,41.201023,14.627356,2019-08-13,57.93426500664266
c0009,41.201023,14.627356,2019-08-14,67.0909065879444
c0009,41.201023,14.627356,2019-08-15,55.914169466274494
c0009,41.201023,14.627356,2019-08-16,56.26349175297418
c0009,41.201023,14.627356,2019-08-17,53.174198622510595
c0009,41.201023,14.627356,2019-08-18,51.52129037163377
c0009,41.201023,14.627356,2019-08-19,52.96923447900128
c0009,41.201023,14.627356,2019-08-20,44.666814768842436
c0009,41.201023,14.627356,2019-08-21,54.82448198440271
c0009,41.201023,14.627356,2019-08-22,50.44869970589868
c0009,41.201023,14.627356,2019-08-23,73.1475560205958
c0009,41.201023,14.627356,2019-08-24,75.48068062871941
c0009,41.201023,14.627356,2019-08-25,77.2381187641964
c0009,41.201023,14.627356,2019-08-26,67.23715981726102
c0009,41.201023,14.627356,2019-08-27,62.062327765532245
c0009,41.201023,14.627356,2019-08-28,61.32869630104183
c0009,41.201023,14.627356,2019-08-29,58.9238701261935
c0009,41.201023,14.627356,2019-08-30,73.48988432411213
c0009,41.201023,14.627356,2019-08-31,68.7152528966482
c0009,41.201023,14.627356,2019-09-01,78.65441893380779
c0009,41.201023,14.627356,2019-09-02,85.74879340627321
c0009,41.201023,14.627356,2019-09-03,86.39927466671206
c0009,41.201023,14.627356,2019-09-04,71.07244145276367
c0009,41.201023,14.627356,2019-09-05,66.22405109155463
c0009,41.201023,14.627356,2019-09-06,74.67576181099375
c0009,41.201023,14.627356,2019-09-07,75.18684004328223
c0009,41.201023,14.627356,2019-09-08,75.35363451850013
c0009,41.201023,14.627356,2019-09-09,69.18783923295305
c0009,41.201023,14.627356,2019-09-10,64.50411625137443
c0009,41.201023,14.627356,2019-09-11,61.54157387783244
c0009,41.201023,14.627356,2019-09-12,60.23083624869073
c0009,41.201023,14.627356,2019-09-13,66.22442348253685
c0009,41.201023,14.627356,2019-09-14,61.359479932804426
c0009,41.201023,14.627356,2019-09-15,58.3555373131454
c0009,41.201023,14.627356,2019-09-16,62.80376920332426
c0009,41.201023,14.627356,2019-09-17,75.45051307937068
c0009,41.201023,14.627356,2019-09-18,75.93664538647865
c0009,41.201023,14.627356,2019-09-19,87.09286031433956
c0009,41.201023,14.627356,2019-09-20,64.0379156078933
c0009,41.201023,14.627356,2019-09-21,59.62467388051293
c0009,41.201023,14.627356,2019-09-22,80.48486472259363
c0009,41.201023,14.627356,2019-09-23,91.55256897413676
c0009,41.201023,14.627356,2019-09-24,77.19502568028926
c0009,41.201023,14.627356,2019-09-25,81.70194790581084
c0009,41.201023,14.627356,2019-09-26,84.6572082872036
c0009,41.201023,14.627356,2019-09-27,72.74317953461326
c0009,41.201023,14.627356,2019-09-28,83.17923170079307
c0009,41.201023,14.627356,2019-09-29,83.32263387277538
c0009,41.201023,14.627356,2019-09-30,84.71375848049856
c0009,41.201023,14.627356,2019-10-01,83.95399628056792
c0009,41.201023,14.627356,2019-10-02,89.89239542766518
c0009,41.201023,14.627356,2019-10-03,87.56740882855902
c0009,41.201023,14.627356,2019-10-04,62.179512490912806
c0009,41.201023,14.627356,2019-10-05,84.91469132689448
c0009,41.201023,14.627356,2019-10-06,77.19540311832287
c0009,41.201023,14.627356,2019-10-07,88.55695145316683
c0009,41.201023,14.627356,2019-10-08,71.12135760460956
c0009,41.201023,14.627356,2019-10-09,66.21164446998188
c0009,41.201023,14.627356,2019-10-10,66.14111883832786
c0009,41.201023,14.627356,2019-10-11,79.08613846812479
c0009,41.201023,14.627356,2019-10-12,82.47593463080251
c0009,41.201023,14.627356,2019-10-13,67.10491406621273
c0009,41.201023,14.627356,2019-10-14,68.1480393837271
c0009,41.201023,14.627356,2019-10-15,76.27446842654793
c0009,41.201023,14.627356,2019-10-16,74.14634275716719
c0009,41.201023,14.627356,2019-10-17,68.63963336817613
c0009,41.201023,14.627356,2019-10-18,75.25028534424061
c0009,41.201023,14.627356,2019-10-19,74.74506994729914
c0009,41.201023,14.627356,2019-10-20,80.67741510884005
c0009,41.201023,14.627356,2019-10-21,72.05336745236302
c0009,41.201023,14.627356,2019-10-22,71.73291419450665
c0009,41.201023,14.627356,2019-10-23,64.26197570578769
c0009,41.201023,14.627356,2019-10-24,56.175106504833494
c0009,41.201023,14.627356,2019-10-25,72.77509596089872
c0009,41.201023,14.627356,2019-10-26,74.45322020080536
c0009,41.201023,14.627356,2019-10-27,58.04743877586234
c0009,41.201023,14.627356,2019-10-28,64.92414408523425
c0009,41.201023,14.627356,2019-10-29,82.05611363924682
c0009,41.201023,14.627356,2019-10-30,79.28048469374254
c0009,41.201023,14.627356,2019-10-31,82.92462184523313
c0009,41.201023,14.627356,2019-11-01,91.2144886419774
c0009,41.201023,14.627356,2019-11-02,92.8703403857658
c0009,41.201023,14.627356,2019-11-03,95.68724921835668
c0009,41.201023,14.627356,2019-11-04,88.81723670628034
c0009,41.201023,14.627356,2019-11-05,93.64004404916204
c0009,41.201023,14.627356,2019-11-06,96.52165170770256
c0009,41.201023,14.627356,2019-11-07,82.85498301823151
c0009,41.201023,14.627356,2019-11-08,92.00115646984295
c0009,41.201023,14.627356,2019-11-09,89.24441142723182
c0009,41.201023,14.627356,2019-11-10,87.74178877779087
c0009,41.201023,14.627356,2019-11-11,82.25888871839537
c0009,41.201023,14.627356,2019-11-12,87.0964116659502
c0009,41.201023,14.627356,2019-11-13,92.47706646393696
c0009,41.201023,14.627356,2019-11-14,91.0733899884424
c0009,41.201023,14.627356,2019-11-15,82.38757384990106
c0009,41.201023,14.627356,2019-11-16,83.70919643359916
c0009,41.201023,14.627356,2019-11-17,83.942088504215
c0009,41.201023,14.627356,2019-11-18,88.51424626696401
c0009,41.201023,14.627356,2019-11-19,89.7664005245084
c0009,41.201023,14.627356,2019-11-20,92.816846363585
c0009,41.201023,14.627356,2019-11-21,92.77899792388602
c0009,41.201023,14.627356,2019-11-22,94.89171683563994
c0009,41.201023,14.627356,2019-11-23,76.93909205805683
c0009,41.201023,14.627356,2019-11-24,92.68957625492104
c0009,41.201023,14.627356,2019-11-25,96.98047055789053
c0009,41.201023,14.627356,2019-11-26,85.73685433082159
c0009,41.201023,14.627356,2019-11-27,92.53907312309607
c0009,41.201023,14.627356,2019-11-28,92.2860429954088
c0009,41.201023,14.627356,2019-11-29,93.6376874646738
c0009,41.201023,14.627356,2019-11-30,90.0870058954222
c0009,41.201023,14.627356,2019-12-01,88.0768111451151
c0009,41.201023,14.627356,2019-12-02,92.2254271203927
c0009,41.201023,14.627356,2019-12-03,89.4860815557539
c0009,41.201023,14.627356,2019-12-04,78.4299638539365
c0009,41.201023,14.627356,2019-12-05,87.09891727782198
c0009,41.201023,14.627356,2019-12-06,92.34984025405278
c0009,41.201023,14.627356,2019-12-07,93.06483278713064
c0009,41.201023,14.627356,2019-12-08,93.1175717066784
c0009,41.201023,14.627356,2019-12-09,94.15291292863718
c0009,41.201023,14.627356,2019-12-10,86.54360744941162
c0009,41.201023,14.627356,2019-12-11,73.55994854304022
c0009,41.201023,14.627356,2019-12-12,88.96472274743728
c0009,41.201023,14.627356,2019-12-13,96.99316418095106
c0009,41.201023,14.627356,2019-12-14,76.74434833400566
c0009,41.201023,14.627356,2019-12-15,88.07044706951903
c0009,41.201023,14.627356,2019-12-16,93.5362762874548
c0009,41.201023,14.627356,2019-12-17,79.38773271936621
c0009,41.201023,14.627356,2019-12-18,86.4605396006022
c0009,41.201023,14.627356,2019-12-19,97.03952236884456
c0009,41.201023,14.627356,2019-12-20,91.81498429098632
c0009,41.201023,14.627356,2019-12-21,96.48346231433862
c0009,41.201023,14.627356,2019-12-22,90.68497769405364
c0009,41.201023,14.627356,2019-12-23,83.4375766755941
c0009,41.201023,14.627356,2019-12-24,68.19757976292335
c0009,41.201023,14.627356,2019-12-25,75.96183551271837
c0009,41.201023,14.627356,2019-12-26,74.92370401631133
c0009,41.201023,14.627356,2019-12-27,71.65235417676138
c0009,41.201023,14.627356,2019-12-28,76.76360516346492
c0009,41.201023,14.627356,2019-12-29,78.85163892366484
c0009,41.201023,14.627356,2019-12-30,78.30096916263379
c0009,41.201023,14.627356,2019-12-31,75.03814600278139
c0009,41.201023,14.627356,2020-01-01,73.8543648572902
c0009,41.201023,14.627356,2020-01-02,80.04954304793173
c0009,41.201023,14.627356,2020-01-03,73.14521860734233
c0009,41.201023,14.627356,2020-01-04,92.39942465257714
c0009,41.201023,14.627356,2020-01-05,65.2670587105417
c0009,41.201023,14.627356,2020-01-06,64.71904509284703
c0009,41.201023,14.627356,2020-01-07,69.03483168004846
c0009,41.201023,14.627356,2020-01-08,81.73183933290416
c0009,41.201023,14.627356,2020-01-09,79.89806110678188
c0009,41.201023,14.627356,2020-01-10,84.03537302407963
c0009,41.201023,14.627356,2020-01-11,76.14131918002565
c0009,41.201023,14.627356,2020-01-12,82.2751235394169
c0009,41.201023,14.627356,2020-01-13,82.28770002957634
c0009,41.201023,14.627356,2020-01-14,78.63538646844408
c0009,41.201023,14.627356,2020-01-15,78.36951096502072
c0009,41.201023,14.627356,2020-01-16,81.41379646223362
c0009,41.201023,14.627356,2020-01-17,84.85820018465135
c0009,41.201023,14.627356,2020-01-18,95.21954646441472
c0009,41.201023,14.627356,2020-01-19,87.11833398256077
c0009,41.201023,14.627356,2020-01-20,78.37359811112553
c0009,41.201023,14.627356,2020-01-21,86.24773685665842
c0009,41.201023,14.627356,2020-01-22,83.63685505361913
c0009,41.201023,14.627356,2020-01-23,82.85262198991435
c0009,41.201023,14.627356,2020-01-24,84.22533104885274
c0009,41.201023,14.627356,2020-01-25,94.71874622672274
c0009,41.201023,14.627356,2020-01-26,91.82695345571688
c0009,41.201023,14.627356,2020-01-27,91.3061151274466
c0009,41.201023,14.627356,2020-01-28,91.52063601093684
c0009,41.201023,14.627356,2020-01-29,89.00509291962776
c0009,41.201023,14.627356,2020-01-30,81.1785729053387
c0009,41.201023,14.627356,2020-01-31,90.92349570766916
c0009,41.201023,14.627356,2020-02-01,93.30083769414354
c0009,41.201023,14.627356,2020-02-02,91.98372298113352
c0009,41.201023,14.627356,2020-02-03,94.90630450570852
c0009,41.201023,14.627356,2020-02-04,91.95049388993064
c0009,41.201023,14.627356,2020-02-05,67.978968574914
c0009,41.201023,14.627356,2020-02-06,55.79226311712521
c0009,41.201023,14.627356,2020-02-07,50.96274960417933
c0009,41.201023,14.627356,2020-02-08,53.55024037457227
c0009,41.201023,14.627356,2020-02-09,72.68964016797923
c0009,41.201023,14.627356,2020-02-10,92.9627081443789
c0009,41.201023,14.627356,2020-02-11,92.34920621360564
c0009,41.201023,14.627356,2020-02-12,83.71313701107236
c0009,41.201023,14.627356,2020-02-13,86.38506622419399
c0009,41.201023,14.627356,2020-02-14,87.68077294134437
c0009,41.201023,14.627356,2020-02-15,67.81037633330327
c0009,41.201023,14.627356,2020-02-16,65.76752228959134
c0009,41.201023,14.627356,2020-02-17,85.87390374098311
c0009,41.201023,14.627356,2020-02-18,88.09500308988416
c0009,41.201023,14.627356,2020-02-19,90.58968231591456
c0009,41.201023,14.627356,2020-02-20,70.49771728201539
c0009,41.201023,14.627356,2020-02-21,64.31403626970031
c0009,41.201023,14.627356,2020-02-22,59.975003897527095
c0009,41.201023,14.627356,2020-02-23,74.98219172647819
c0009,41.201023,14.627356,2020-02-24,90.79295639456394
c0009,41.201023,14.627356,2020-02-25,89.24713773664351
c0009,41.201023,14.627356,2020-02-26,82.50297795733256
c0009,41.201023,14.627356,2020-02-27,55.662709505918734
c0009,41.201023,14.627356,2020-02-28,67.68845078916026
c0009,41.201023,14.627356,2020-02-29,61.9891741024768
c0009,41.201023,14.627356,2020-03-01,87.68816454484012
c0009,41.201023,14.627356,2020-03-02,84.35823181748547
c0009,41.201023,14.627356,2020-03-03,80.09339491612354
c0009,41.201023,14.627356,2020-03-04,75.79455426810945
c0009,41.201023,14.627356,2020-03-05,77.20289813926074
c0009,41.201023,14.627356,2020-03-06,85.16021676184327
c0009,41.201023,14.627356,2020-03-07,85.17027140501348
c0009,41.201023,14.627356,2020-03-08,73.5769661722825
c0009,41.201023,14.627356,2020-03-09,72.34513893876976
c0009,41.201023,14.627356,2020-03-10,67.49008090166501
c0009,41.201023,14.627356,2020-03-11,69.94393320523292
c0009,41.201023,14.627356,2020-03-12,84.9189720268188
c0009,41.201023,14.627356,2020-03-13,87.75859282073208
c0009,41.201023,14.627356,2020-03-14,85.65482492111752
c0009,41.201023,14.627356,2020-03-15,70.09014448831577
c0009,41.201023,14.627356,2020-03-16,66.96571439117498
