cell_id,cloud_pct,lat_center,lon_center,date,NDWI
c0511,24.87068748474121,38.307315,16.069384,2022-04-12,-0.6400836038713654
c0511,67.56632995605469,38.307315,16.069384,2022-04-13,
c0511,48.224361419677734,38.307315,16.069384,2022-04-14,-0.3189324344620327
c0511,74.38435363769531,38.307315,16.069384,2022-04-15,
c0511,44.69571685791016,38.307315,16.069384,2022-04-16,
c0511,59.00725936889648,38.307315,16.069384,2022-04-17,-0.4301706308033317
c0511,8.84880542755127,38.307315,16.069384,2022-04-18,
c0511,30.24812889099121,38.307315,16.069384,2022-04-19,-0.3512494078566951
c0511,58.16749572753906,38.307315,16.069384,2022-04-20,
c0511,75.09227752685547,38.307315,16.069384,2022-04-21,
c0511,61.726219177246094,38.307315,16.069384,2022-04-22,-0.6488114028858641
c0511,46.28765106201172,38.307315,16.069384,2022-04-23,
c0511,60.305702209472656,38.307315,16.069384,2022-04-24,-0.6605884514945694
c0511,33.127017974853516,38.307315,16.069384,2022-04-25,
c0511,25.80458641052246,38.307315,16.069384,2022-04-26,
c0511,32.721595764160156,38.307315,16.069384,2022-04-27,-0.6471711351769045
c0511,39.866207122802734,38.307315,16.069384,2022-04-28,
c0511,58.133750915527344,38.307315,16.069384,2022-04-29,-0.0614383086518458
c0511,35.41486358642578,38.307315,16.069384,2022-04-30,
c0511,45.86735916137695,38.307315,16.069384,2022-05-01,
c0511,49.02729034423828,38.307315,16.069384,2022-05-02,-0.360453342650241
c0511,59.001853942871094,38.307315,16.069384,2022-05-03,
c0511,40.19111633300781,38.307315,16.069384,2022-05-04,-0.6663246380269002
c0511,85.2090835571289,38.307315,16.069384,2022-05-05,
c0511,86.38479614257812,38.307315,16.069384,2022-05-06,
c0511,86.0996322631836,38.307315,16.069384,2022-05-07,-0.0544774771745627
c0511,64.43048095703125,38.307315,16.069384,2022-05-08,
c0511,33.33336639404297,38.307315,16.069384,2022-05-09,-0.2471200507844298
c0511,13.323718070983888,38.307315,16.069384,2022-05-10,
c0511,14.742737770080566,38.307315,16.069384,2022-05-11,
c0511,9.566043853759766,38.307315,16.069384,2022-05-12,-0.6442973115481436
c0511,17.411441802978516,38.307315,16.069384,2022-05-13,
c0511,15.363865852355955,38.307315,16.069384,2022-05-14,-0.6693387697519095
c0511,24.81821632385254,38.307315,16.069384,2022-05-15,
c0511,27.490291595458984,38.307315,16.069384,2022-05-16,
c0511,31.771270751953125,38.307315,16.069384,2022-05-17,-0.6421166267246008
c0511,13.783679008483888,38.307315,16.069384,2022-05-18,
c0511,13.636049270629885,38.307315,16.069384,2022-05-19,-0.2674875138354791
c0511,16.032052993774414,38.307315,16.069384,2022-05-20,
c0511,15.560891151428224,38.307315,16.069384,2022-05-21,
c0511,15.970165252685549,38.307315,16.069384,2022-05-22,-0.6653292299815803
c0511,26.771991729736328,38.307315,16.069384,2022-05-23,
c0511,32.832889556884766,38.307315,16.069384,2022-05-24,-0.6778833002420115
c0511,58.301082611083984,38.307315,16.069384,2022-05-25,
c0511,59.402225494384766,38.307315,16.069384,2022-05-26,
c0511,60.37832260131836,38.307315,16.069384,2022-05-27,-0.194586928274172
c0511,44.25771713256836,38.307315,16.069384,2022-05-28,
c0511,37.09976577758789,38.307315,16.069384,2022-05-29,0.0086608430796748
c0511,46.45763397216797,38.307315,16.069384,2022-05-30,
